YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2023,2023/07/31 00:00:00,JULY,NSW1,84.15000000,93.26000000
2023,2023/07/31 00:00:00,JULY,QLD1,77.27000000,82.60000000
2023,2023/07/31 00:00:00,JULY,SA1,72.76000000,94.66000000
2023,2023/07/31 00:00:00,JULY,TAS1,23.32000000,32.62000000
2023,2023/07/31 00:00:00,JULY,VIC1,55.21000000,75.97000000
