YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2018,2018/07/31 00:00:00,JULY,NSW1,74.99,83.25
2018,2018/07/31 00:00:00,JULY,QLD1,69.12,76.23
2018,2018/07/31 00:00:00,JULY,SA1,105.77,145.06
2018,2018/07/31 00:00:00,JULY,TAS1,44.85,49.51
2018,2018/07/31 00:00:00,JULY,VIC1,70.10,86.86
2018,2018/08/31 00:00:00,AUGUST,NSW1,93.02,105.86
2018,2018/08/31 00:00:00,AUGUST,QLD1,82.49,92.12
2018,2018/08/31 00:00:00,AUGUST,SA1,72.31,88.39
2018,2018/08/31 00:00:00,AUGUST,TAS1,25.03,31.23
2018,2018/08/31 00:00:00,AUGUST,VIC1,79.17,100.32
2018,2018/09/30 00:00:00,SEPTEMBER,NSW1,93.36,106.62
2018,2018/09/30 00:00:00,SEPTEMBER,QLD1,80.60,91.73
2018,2018/09/30 00:00:00,SEPTEMBER,SA1,90.60,101.76
2018,2018/09/30 00:00:00,SEPTEMBER,TAS1,60.86,70.70
2018,2018/09/30 00:00:00,SEPTEMBER,VIC1,92.85,106.94
