YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2019,2019/07/31 00:00:00,JULY,NSW1,71.57,79.57
2019,2019/07/31 00:00:00,JULY,QLD1,66.17,71.88
2019,2019/07/31 00:00:00,JULY,SA1,73.93,92.36
2019,2019/07/31 00:00:00,JULY,TAS1,74.77,89.16
2019,2019/07/31 00:00:00,JULY,VIC1,85.92,104.22
2019,2019/08/31 00:00:00,AUGUST,NSW1,84.04,96.39
2019,2019/08/31 00:00:00,AUGUST,QLD1,61.73,64.78
2019,2019/08/31 00:00:00,AUGUST,SA1,78.78,98.78
2019,2019/08/31 00:00:00,AUGUST,TAS1,70.04,80.14
2019,2019/08/31 00:00:00,AUGUST,VIC1,104.95,128.34
2019,2019/09/30 00:00:00,SEPTEMBER,NSW1,95.62,107.69
2019,2019/09/30 00:00:00,SEPTEMBER,QLD1,58.52,62.58
2019,2019/09/30 00:00:00,SEPTEMBER,SA1,72.95,80.70
2019,2019/09/30 00:00:00,SEPTEMBER,TAS1,57.62,63.58
2019,2019/09/30 00:00:00,SEPTEMBER,VIC1,104.76,119.12
2019,2019/10/31 00:00:00,OCTOBER,NSW1,101.77,109.56
2019,2019/10/31 00:00:00,OCTOBER,QLD1,74.16,76.19
2019,2019/10/31 00:00:00,OCTOBER,SA1,67.34,68.06
2019,2019/10/31 00:00:00,OCTOBER,TAS1,107.68,105.77
2019,2019/10/31 00:00:00,OCTOBER,VIC1,100.70,110.98
