YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2021,2021/07/31 00:00:00,JULY,NSW1,124.01000000,173.08000000
2021,2021/07/31 00:00:00,JULY,QLD1,135.08000000,183.83000000
2021,2021/07/31 00:00:00,JULY,SA1,91.19000000,117.73000000
2021,2021/07/31 00:00:00,JULY,TAS1,38.15000000,42.75000000
2021,2021/07/31 00:00:00,JULY,VIC1,91.72000000,127.01000000
2021,2021/08/31 00:00:00,AUGUST,NSW1,60.15000000,65.54000000
2021,2021/08/31 00:00:00,AUGUST,QLD1,53.55000000,54.97000000
2021,2021/08/31 00:00:00,AUGUST,SA1,43.44000000,46.20000000
2021,2021/08/31 00:00:00,AUGUST,TAS1,21.46000000,24.96000000
2021,2021/08/31 00:00:00,AUGUST,VIC1,47.00000000,54.92000000
